Country Name,Country Code,year,borrow_any,fin_account,distance,lack_doc,lack_trust,save_fin_acc,credit_c_purch,mm_account,save_any,imputer
Afghanistan,AFG,2021,0.6797,0.0965,0.3772999999999999,0.3613,0.3843999999999999,0.0134,0.25780000000000003,0.0,0.0562,Mediana
Albania,ALB,2021,0.4269,0.4417,0.098,0.0546,0.0947,0.0966,0.25780000000000003,0.21624999999999994,0.3179,Mediana
Algeria,DZA,2021,0.3759,0.441,0.0553,0.2285,0.1067999999999999,0.1605,0.25780000000000003,0.21624999999999994,0.4569,Mediana
Angola,AGO,2021,0.4895,0.7267,0.13395,0.1291,0.11564999999999995,0.1866,0.25780000000000003,0.21624999999999994,0.5014,Mediana
Argentina,ARG,2021,0.5156000000000001,0.6633,0.0689,0.0856,0.1336999999999999,0.1115,0.2577,0.3508,0.3872,Mediana
Armenia,ARM,2021,0.5731,0.5225,0.0782,0.071,0.0993999999999999,0.0559999999999999,0.25780000000000003,0.1674,0.3856,Mediana
Australia,AUS,2021,0.67,0.9932,0.13395,0.1291,0.11564999999999995,0.6917,0.4584,0.21624999999999994,0.8298000000000001,Mediana
Austria,AUT,2021,0.6401,0.9995,0.13395,0.1291,0.11564999999999995,0.6667000000000001,0.5128,0.21624999999999994,0.92,Mediana
Azerbaijan,AZE,2021,0.4895,0.7267,0.13395,0.1291,0.11564999999999995,0.1866,0.25780000000000003,0.21624999999999994,0.5014,Mediana
Bahrain,BHR,2021,0.4895,0.7267,0.13395,0.1291,0.11564999999999995,0.1866,0.25780000000000003,0.21624999999999994,0.5014,Mediana
Bangladesh,BGD,2021,0.4613,0.3768999999999999,0.2297,0.2105999999999999,0.157,0.0601,0.25780000000000003,0.2901,0.2336,Mediana
Belarus,BLR,2021,0.4895,0.7267,0.13395,0.1291,0.11564999999999995,0.1866,0.25780000000000003,0.21624999999999994,0.5014,Mediana
Belgium,BEL,2021,0.5628,0.9901,0.13395,0.1291,0.11564999999999995,0.5695,0.419,0.21624999999999994,0.7164,Mediana
Belize,BLZ,2021,0.4895,0.7267,0.13395,0.1291,0.11564999999999995,0.1866,0.25780000000000003,0.21624999999999994,0.5014,Mediana
Benin,BEN,2021,0.4718,0.2379,0.2144,0.344,0.1301999999999999,0.0515,0.25780000000000003,0.3668,0.4704,Mediana
Bhutan,BTN,2021,0.4895,0.7267,0.13395,0.1291,0.11564999999999995,0.1866,0.25780000000000003,0.21624999999999994,0.5014,Mediana
Bolivia,BOL,2021,0.4816,0.6796,0.1914,0.1119,0.1721,0.2004,0.0836,0.1295,0.5599000000000001,Mediana
Bosnia and Herzegovina,BIH,2021,0.4191,0.7934,0.0457,0.0665,0.0475,0.1866,0.1085,0.21624999999999994,0.4875,Mediana
Botswana,BWA,2021,0.4895,0.7267,0.13395,0.1291,0.11564999999999995,0.1866,0.25780000000000003,0.21624999999999994,0.5014,Mediana
Brazil,BRA,2021,0.5876,0.8356,0.0785,0.0613999999999999,0.0573,0.2282,0.3563,0.2696,0.4624,Mediana
Bulgaria,BGR,2021,0.4777,0.8397,0.0768,0.045,0.1054,0.2312,0.1607999999999999,0.21624999999999994,0.5226,Mediana
Burkina Faso,BFA,2021,0.4836999999999999,0.2105,0.2023,0.2214999999999999,0.1015,0.0751999999999999,0.25780000000000003,0.2467,0.4797999999999999,Mediana
Burundi,BDI,2021,0.4895,0.7267,0.13395,0.1291,0.11564999999999995,0.1866,0.25780000000000003,0.21624999999999994,0.5014,Mediana
Cambodia,KHM,2021,0.5502,0.326,0.2608,0.283,0.1263,0.0667,0.25780000000000003,0.066,0.3222,Mediana
Cameroon,CMR,2021,0.5856,0.2353,0.1924,0.2855,0.1875,0.0861,0.25780000000000003,0.4243,0.5903,Mediana
Canada,CAN,2021,0.8613,0.9963,0.13395,0.1291,0.11564999999999995,0.6391,0.7859,0.21624999999999994,0.7815000000000001,Mediana
Central African Republic,CAF,2021,0.4895,0.7267,0.13395,0.1291,0.11564999999999995,0.1866,0.25780000000000003,0.21624999999999994,0.5014,Mediana
Chad,TCD,2021,0.4895,0.7267,0.13395,0.1291,0.11564999999999995,0.1866,0.25780000000000003,0.21624999999999994,0.5014,Mediana
Chile,CHL,2021,0.4368999999999999,0.8706,0.0475,0.0398,0.076,0.3107999999999999,0.1919,0.21624999999999994,0.5809000000000001,Mediana
China,CHN,2021,0.5571,0.8870999999999999,0.0365,0.0276,0.0237,0.4468999999999999,0.3115,0.21624999999999994,0.6079,Mediana
Colombia,COL,2021,0.4824,0.5594,0.1761,0.2361,0.2055999999999999,0.1139,0.1051,0.2177,0.319,Mediana
Comoros,COM,2021,0.4895,0.7267,0.13395,0.1291,0.11564999999999995,0.1866,0.25780000000000003,0.21624999999999994,0.5014,Mediana
